Date,Description,Amount,Category,Account
2024-01-12,Grocery store purchase,-99.54,Unspecified,Savings
2024-01-12,Housing rent transfer,285.5,Rent,Savings
2024-01-12,Unspecified,-111.13,Unspecified,Savings
2024-01-12,Payroll deposit,-39736.0,Salary,Savings
2024-01-12,Supermarket shopping,131.35,Groceries,Savings
2024-01-12,Streaming service subscription,-473.94,Entertainment,Credit Card
2024-01-12,Unspecified,273.74,Groceries,Savings
2024-01-12,Weekly grocery run,-195.44,Groceries,Unspecified
2024-01-12,Housing rent transfer,285.5,Rent,Savings
2024-01-12,Supermarket shopping,270.98,Groceries,Credit Card
2024-01-12,Freelance income,255.59,Unspecified,Unspecified
2024-01-12,Landlord payment,-431.38,Rent,Credit Card
2024-01-12,Restaurant dining,-16.28,Entertainment,Checking
2024-01-12,Employer paycheck,82.58,Salary,Savings
2024-01-12,Amusement park visit,308.2,Entertainment,Credit Card
2024-01-12,Wages direct deposit,-96.88,Salary,Savings
2024-01-12,Phone bill payment,-57.84,Utilities,Credit Card
2024-01-12,Amusement park visit,-5.08,Entertainment,Credit Card
2024-01-12,Gas bill payment,19.91,Unspecified,Checking
2024-01-12,Electricity bill payment,-120.82,Utilities,Savings
2024-01-12,Internet service bill,162.35,Utilities,Savings
2024-01-12,Amusement park visit,6.38,Entertainment,Savings
2024-01-12,Movie theater tickets,105.02,Entertainment,Savings
2024-01-12,Restaurant dining,-35.06,Entertainment,Savings
2024-01-12,Food market transaction,8.3,Unspecified,Credit Card
2024-01-12,Weekly grocery run,88.91,Groceries,Checking
2024-01-12,Streaming service subscription,493.23,Unspecified,Checking
2024-01-12,Landlord payment,-331.62,Rent,Savings
2024-01-12,Restaurant dining,-290.21,Entertainment,Savings
2024-01-12,Landlord payment,421.68,Rent,Credit Card
2024-01-12,Amusement park visit,-102.27,Entertainment,Unspecified
2024-01-12,Phone bill payment,442.8,Utilities,Credit Card
2024-01-12,Apartment lease payment,443.8,Rent,Checking
2024-01-12,Payroll deposit,-426.53,Salary,Credit Card
2024-01-12,Unspecified,-264.2,Groceries,Credit Card
2024-01-12,Electricity bill payment,15.35,Utilities,Unspecified
2024-01-12,Restaurant dining,-434.56,Entertainment,Savings
2024-01-12,Concert ticket purchase,-115.44,Rent,Credit Card
2024-01-12,Supermarket shopping,-493.76,Groceries,Credit Card
2024-01-12,Housing rent transfer,-451.53,Rent,Credit Card
2024-01-12,Gas bill payment,-339.72,Utilities,Credit Card
2024-01-12,Amusement park visit,-199.0,Entertainment,Checking
2024-01-12,Monthly rent payment,-149.0,Rent,Credit Card
2024-01-12,Concert ticket purchase,395.25,Entertainment,Checking
2024-01-12,Amusement park visit,-211.43,Unspecified,Savings
2024-01-12,Housing rent transfer,94.29,Rent,Credit Card
2024-01-12,Employer paycheck,395.0,Unspecified,Checking
2024-01-12,Streaming service subscription,-298.0,Entertainment,Savings
2024-01-12,Salary payment,369.02,Salary,Unspecified
2024-01-12,Streaming service subscription,-357.87,Entertainment,Checking
2024-01-12,Apartment lease payment,190.28,Rent,Savings
2024-01-12,Restaurant dining,21.15,Entertainment,Savings
2024-01-12,Internet service bill,439.34,Utilities,Savings
2024-01-12,Unspecified,-485.14,Unspecified,Credit Card
2024-01-12,Food market transaction,-157.06,Groceries,Credit Card
2024-01-12,Supermarket shopping,433.04,Unspecified,Unspecified
2024-01-12,Supermarket shopping,56.33,Groceries,Savings
2024-01-12,Grocery store purchase,-318.0,Groceries,Checking
2024-01-12,Internet service bill,-433.0,Utilities,Savings
2024-01-12,Grocery store purchase,492.29,Unspecified,Savings
2024-01-12,Concert ticket purchase,-234.42,Entertainment,Checking
2024-01-12,Streaming service subscription,101.01,Entertainment,Checking
2024-01-12,Gas bill payment,134.46,Utilities,Savings
2024-01-12,Amusement park visit,-210.62,Entertainment,Savings
2024-01-12,Gas bill payment,113.36,Utilities,Checking
2024-01-12,Water utility payment,-359.0,Utilities,Checking
2024-01-12,Weekly grocery run,-23.41,Groceries,Credit Card
2024-01-12,Convenience store purchase,115.6,Groceries,Savings
2024-01-12,Grocery store purchase,492.29,Unspecified,Savings
2024-01-12,Concert ticket purchase,-357.0,Entertainment,Checking
2024-01-12,Gas bill payment,477.66,Unspecified,Credit Card
2024-01-12,Internet service bill,-88.29,Utilities,Savings
2024-01-12,Electricity bill payment,384.35,Utilities,Savings
2024-01-12,Amusement park visit,-94.64,Entertainment,Checking
2024-01-12,Water utility payment,29.52,Utilities,Credit Card
2024-01-12,Water utility payment,-324.91,Unspecified,Checking
2024-01-12,Convenience store purchase,40.08,Groceries,Savings
2024-01-12,Payroll deposit,-147.83,Salary,Savings
2024-01-12,Unspecified,207.45,Utilities,Savings
2024-01-12,Food market transaction,-195.12,Groceries,Credit Card
2024-01-12,Movie theater tickets,493.65,Entertainment,Checking
2024-01-12,Grocery store purchase,422.7,Unspecified,Checking
2024-01-12,Concert ticket purchase,-70.36,Entertainment,Savings
2024-01-12,Movie theater tickets,282.31,Entertainment,Savings
2024-01-12,Concert ticket purchase,-120.22,Entertainment,Checking
2024-01-12,Housing rent transfer,-370.0,Unspecified,Savings
2024-01-12,Water utility payment,59.62,Utilities,Credit Card
2024-01-12,Unspecified,154.57,Utilities,Checking
2024-01-12,Apartment lease payment,-185.49,Unspecified,Credit Card
2024-01-12,Phone bill payment,382.56,Utilities,Checking
2024-01-12,Gas bill payment,-238.11,Unspecified,Checking
2024-01-12,Phone bill payment,-231.54,Utilities,Credit Card
2024-01-12,Streaming service subscription,153.44,Rent,Credit Card
2024-01-12,Employer paycheck,-58.23,Salary,Checking
2024-01-12,Housing rent transfer,356.11,Rent,Credit Card
2024-01-12,Restaurant dining,485.46,Entertainment,Unspecified
2024-01-12,Landlord payment,-431.38,Rent,Credit Card
2024-01-12,Rental fee,-110.43,Rent,Credit Card
2024-01-12,Electricity bill payment,213.2,Utilities,Checking
2024-01-12,Housing rent transfer,72.41,Rent,Checking
2024-01-12,Freelance income,-430.0,Salary,Unspecified
2024-01-12,Employer paycheck,180.67,Salary,Credit Card
2024-01-12,Convenience store purchase,129.1,Groceries,Unspecified
2024-01-12,Freelance income,-21329.0,Unspecified,Credit Card
2024-01-12,Amusement park visit,-174.4,Entertainment,Savings
2024-01-12,Landlord payment,-181.84,Rent,Checking
2024-01-12,Water utility payment,-208.27,Utilities,Checking
2024-01-12,Monthly rent payment,309.5,Rent,Savings
2024-01-12,Restaurant dining,-104.71,Entertainment,Savings
2024-01-12,Grocery store purchase,-75.62,Groceries,Savings
2024-01-12,Movie theater tickets,-226.18,Entertainment,Checking
2024-01-12,Monthly rent payment,-25472.0,Rent,Savings
2024-01-12,Grocery store purchase,114.99,Groceries,Savings
2024-01-12,Unspecified,-471.25,Groceries,Checking
2024-01-12,Gas bill payment,-398.21,Utilities,Savings
2024-01-12,Rental fee,-223.28,Rent,Savings
2024-01-12,Wages direct deposit,-124.56,Salary,Credit Card
2024-01-12,Amusement park visit,-449.07,Entertainment,Credit Card
2024-01-12,Grocery store purchase,120.57,Groceries,Savings
2024-01-12,Phone bill payment,164.43,Utilities,Credit Card
2024-01-12,Streaming service subscription,-446.74,Entertainment,Savings
2024-01-12,Gas bill payment,242.08,Utilities,Savings
2024-01-12,Unspecified,-128.66,Unspecified,Checking
2024-01-12,Landlord payment,-386.17,Rent,Credit Card
2024-01-12,Gas bill payment,27949.0,Utilities,Savings
2024-01-12,Internet service bill,155.35,Utilities,Checking
2024-01-12,Wages direct deposit,174.46,Salary,Unspecified
2024-01-12,Landlord payment,360.44,Unspecified,Checking
2024-02-11,Gas bill payment,-200.75,Utilities,Checking
2024-02-11,Apartment lease payment,-189.31,Rent,Checking
2024-02-11,Restaurant dining,-346.8,Entertainment,Credit Card
2024-02-11,Wages direct deposit,281.57,Salary,Savings
2024-02-11,Freelance income,-249.73,Salary,Checking
2024-02-11,Monthly rent payment,-489.56,Rent,Credit Card
2024-02-11,Grocery store purchase,-214.44,Groceries,Unspecified
2024-02-11,Weekly grocery run,-26.64,Groceries,Savings
2024-02-11,Payroll deposit,385.97,Salary,Credit Card
2024-02-11,Concert ticket purchase,374.75,Entertainment,Credit Card
2024-02-11,Salary payment,481.5,Salary,Credit Card
2024-02-11,Wages direct deposit,348.27,Salary,Checking
2024-02-11,Apartment lease payment,-410.78,Rent,Checking
2024-02-11,Apartment lease payment,-6076.0,Rent,Checking
2024-02-11,Restaurant dining,-94.25,Unspecified,Checking
2024-02-11,Monthly rent payment,-449.33,Rent,Checking
2024-02-11,Freelance income,330.4,Salary,Savings
2024-02-11,Supermarket shopping,346.79,Groceries,Savings
2024-02-11,Payroll deposit,-488.78,Salary,Credit Card
2024-02-11,Grocery store purchase,-315.99,Unspecified,Checking
2024-02-11,Restaurant dining,164.83,Unspecified,Savings
2024-02-11,Unspecified,-260.24,Utilities,Checking
2024-02-11,Concert ticket purchase,-271.12,Entertainment,Savings
2024-02-11,Wages direct deposit,-119.64,Unspecified,Savings
2024-02-11,Unspecified,-24557.0,Salary,Unspecified
2024-02-11,Salary payment,-15736.0,Salary,Savings
2024-02-11,Electricity bill payment,10.44,Utilities,Credit Card
2024-02-11,Weekly grocery run,329.0,Groceries,Savings
2024-02-11,Employer paycheck,304.42,Salary,Credit Card
2024-02-11,Phone bill payment,-339.54,Unspecified,Checking
2024-02-11,Supermarket shopping,-111.78,Groceries,Savings
2024-02-11,Freelance income,-301.98,Salary,Savings
2024-02-11,Electricity bill payment,157.0,Utilities,Checking
2024-02-11,Streaming service subscription,115.0,Entertainment,Savings
2024-02-11,Restaurant dining,190.34,Entertainment,Credit Card
2024-02-11,Freelance income,-325.18,Salary,Savings
2024-02-11,Wages direct deposit,389.11,Salary,Savings
2024-02-11,Amusement park visit,-35.79,Entertainment,Checking
2024-02-11,Monthly rent payment,476.3,Rent,Credit Card
2024-02-11,Convenience store purchase,223.55,Unspecified,Savings
2024-02-11,Weekly grocery run,392.89,Unspecified,Checking
2024-02-11,Restaurant dining,-94.25,Unspecified,Checking
2024-02-11,Internet service bill,114.57,Utilities,Checking
2024-02-11,Water utility payment,-216.21,Utilities,Credit Card
2024-02-11,Convenience store purchase,142.4,Groceries,Unspecified
2024-02-11,Wages direct deposit,-218.0,Salary,Checking
2024-02-11,Housing rent transfer,-97.31,Rent,Checking
2024-02-11,Grocery store purchase,124.38,Unspecified,Credit Card
2024-02-11,Wages direct deposit,173.22,Salary,Credit Card
2024-02-11,Employer paycheck,488.41,Unspecified,Credit Card
2024-02-11,Restaurant dining,-0.31,Entertainment,Credit Card
2024-02-11,Convenience store purchase,86.12,Groceries,Checking
2024-02-11,Amusement park visit,-67.1,Entertainment,Savings
2024-02-11,Internet service bill,267.62,Unspecified,Savings
2024-02-11,Weekly grocery run,-71.15,Groceries,Savings
2024-02-11,Weekly grocery run,-75.02,Groceries,Credit Card
2024-02-11,Internet service bill,-253.48,Utilities,Credit Card
2024-02-11,Landlord payment,62.03,Unspecified,Savings
2024-02-11,Wages direct deposit,67.66,Salary,Checking
2024-02-11,Apartment lease payment,-6076.0,Rent,Checking
2024-02-11,Rental fee,-34.55,Rent,Checking
2024-02-11,Landlord payment,420.85,Rent,Checking
2024-02-11,Salary payment,288.03,Salary,Checking
2024-02-11,Food market transaction,-94.74,Groceries,Checking
2024-02-11,Grocery store purchase,489.56,Unspecified,Credit Card
2024-02-11,Grocery store purchase,-200.16,Groceries,Savings
2024-02-11,Housing rent transfer,-226.0,Rent,Checking
2024-02-11,Internet service bill,370.87,Utilities,Checking
2024-02-11,Unspecified,-24.13,Entertainment,Savings
2024-02-11,Concert ticket purchase,406.77,Entertainment,Credit Card
2024-02-11,Internet service bill,162.63,Utilities,Credit Card
2024-02-11,Freelance income,-430.12,Salary,Credit Card
2024-02-11,Convenience store purchase,467.75,Groceries,Checking
2024-02-11,Supermarket shopping,413.0,Unspecified,Checking
2024-02-11,Internet service bill,-296.4,Utilities,Credit Card
2024-02-11,Phone bill payment,-390.69,Unspecified,Credit Card
2024-02-11,Unspecified,-9.86,Groceries,Credit Card
2024-02-11,Convenience store purchase,401.0,Groceries,Checking
2024-02-11,Internet service bill,162.63,Utilities,Credit Card
2024-02-11,Landlord payment,177.22,Rent,Credit Card
2024-02-11,Landlord payment,-449.43,Rent,Savings
2024-02-11,Convenience store purchase,-153.95,Groceries,Credit Card
2024-02-11,Unspecified,-294.37,Salary,Savings
2024-02-11,Grocery store purchase,268.96,Groceries,Savings
2024-02-11,Internet service bill,-298.28,Utilities,Checking
2024-02-11,Wages direct deposit,186.0,Salary,Unspecified
2024-02-11,Restaurant dining,176.29,Entertainment,Unspecified
2024-02-11,Wages direct deposit,20.74,Salary,Savings
2024-02-11,Convenience store purchase,332.26,Groceries,Checking
2024-02-11,Movie theater tickets,296.76,Entertainment,Savings
2024-02-11,Concert ticket purchase,124.78,Entertainment,Savings
2024-02-11,Landlord payment,-447.84,Rent,Savings
2024-02-11,Amusement park visit,355.48,Entertainment,Credit Card
2024-02-11,Concert ticket purchase,329.69,Unspecified,Savings
2024-02-11,Unspecified,-490.0,Rent,Checking
2024-02-11,Apartment lease payment,13.56,Rent,Checking
2024-02-11,Gas bill payment,391.66,Utilities,Savings
2024-02-11,Supermarket shopping,-146.82,Groceries,Savings
2024-02-11,Food market transaction,85.8,Groceries,Credit Card
2024-02-11,Apartment lease payment,-423.29,Unspecified,Checking
2024-02-11,Unspecified,-137.09,Unspecified,Savings
2024-02-11,Apartment lease payment,-58.07,Rent,Checking
2024-02-11,Apartment lease payment,-34245.0,Rent,Credit Card
2024-02-11,Gas bill payment,-235.22,Utilities,Credit Card
2024-02-11,Unspecified,281.52,Rent,Savings
2024-02-11,Freelance income,59.69,Salary,Savings
2024-02-11,Landlord payment,205.3,Rent,Savings
2024-02-11,Wages direct deposit,-459.87,Salary,Checking
2024-02-11,Supermarket shopping,222.11,Unspecified,Checking
2024-02-11,Amusement park visit,-31703.0,Entertainment,Credit Card
2024-02-11,Unspecified,46.0,Unspecified,Checking
2024-02-11,Phone bill payment,43097.0,Unspecified,Checking
2024-02-11,Water utility payment,439.52,Utilities,Savings
2024-02-11,Amusement park visit,-111.62,Entertainment,Savings
2024-02-11,Phone bill payment,5.35,Utilities,Savings
2024-02-11,Landlord payment,97.58,Rent,Checking
2024-02-11,Movie theater tickets,-81.8,Entertainment,Checking
2024-02-11,Gas bill payment,-177.94,Utilities,Savings
2024-02-11,Freelance income,419.39,Salary,Unspecified
2024-02-11,Internet service bill,218.0,Utilities,Savings
2024-02-11,Monthly rent payment,-489.62,Rent,Credit Card
2024-02-11,Landlord payment,277.0,Rent,Credit Card
2024-02-11,Convenience store purchase,335.39,Groceries,Savings
2024-02-11,Water utility payment,-273.34,Utilities,Credit Card
2024-02-11,Phone bill payment,200.59,Utilities,Checking
2024-02-11,Internet service bill,-379.06,Utilities,Savings
2024-02-11,Concert ticket purchase,220.78,Entertainment,Unspecified
2024-02-11,Salary payment,481.5,Salary,Credit Card
2024-02-11,Water utility payment,287.53,Utilities,Credit Card
2024-02-11,Supermarket shopping,-11.72,Groceries,Savings
2024-02-11,Amusement park visit,355.48,Entertainment,Credit Card
2024-02-11,Movie theater tickets,102.09,Entertainment,Checking
2024-02-11,Food market transaction,428.64,Groceries,Checking
2024-02-11,Apartment lease payment,-89.53,Rent,Savings
2024-02-11,Streaming service subscription,-397.86,Entertainment,Checking
2024-02-11,Convenience store purchase,223.55,Unspecified,Savings
2024-02-11,Food market transaction,-484.1,Groceries,Unspecified
2024-02-11,Unspecified,-486.0,Rent,Checking
2024-02-11,Freelance income,64.01,Salary,Checking
2024-02-11,Grocery store purchase,453.97,Groceries,Credit Card
2024-02-11,Streaming service subscription,71.12,Entertainment,Checking
2024-02-11,Amusement park visit,-185.81,Entertainment,Checking
2024-02-11,Rental fee,-461.78,Rent,Credit Card
2024-02-11,Monthly rent payment,-110.54,Rent,Savings
2024-02-11,Internet service bill,332.11,Utilities,Credit Card
2024-02-11,Freelance income,-33.0,Salary,Credit Card
2024-02-11,Water utility payment,-271.81,Utilities,Checking
2024-02-11,Internet service bill,232.1,Unspecified,Credit Card
2024-02-11,Weekly grocery run,-9.32,Groceries,Checking
2024-02-11,Employer paycheck,4.57,Salary,Unspecified
2024-02-11,Unspecified,-191.53,Utilities,Credit Card
2024-02-11,Wages direct deposit,-30.55,Unspecified,Savings
2024-02-11,Water utility payment,-413.54,Utilities,Credit Card
2024-02-11,Landlord payment,24.28,Rent,Unspecified
